City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,olonkinbyen,70.9221,-8.7187,1.57,87,100,5.73,SJ,1720468657
117,puerto aysen,-45.4,-72.7,4.08,92,95,1.28,CL,1720468568
118,ilulissat,69.2167,-51.1,3.86,88,99,3.15,GL,1720468661
119,vrangel',42.7297,133.0839,17.29,94,43,3.05,RU,1720468663
120,lingcheng,22.7072,110.3492,25.33,93,35,1.64,CN,1720468665
121,hithadhoo,-0.6,73.0833,28.44,72,61,2.84,MV,1720468667
122,faya-largeau,17.9257,19.1043,36.79,19,38,3.66,TD,1720468669
123,floro,61.5996,5.0328,12.98,88,75,3.6,NO,1720468671
124,thinadhoo,0.5333,72.9333,28.83,73,100,2.93,MV,1720468673
125,bilibino,68.0546,166.4372,7.45,63,2,1.23,RU,1720468676
126,lae,-6.7221,146.9847,19.87,80,63,2.99,PG,1720468678
127,hamilton,39.1834,-84.5333,32.82,55,20,4.63,US,1720468614
128,punta arenas,-53.15,-70.9167,4.01,75,40,8.23,CL,1720468420
129,lompoc,34.6391,-120.4579,33.08,63,5,3.13,US,1720468684
130,revda,56.801,59.9303,14.66,93,51,0.59,RU,1720468686
131,ancud,-41.8697,-73.8203,8.37,67,73,3.59,CL,1720468688
132,lebu,-37.6167,-73.65,8.61,76,0,9.83,CL,1720468690
133,mahibadhoo,3.7833,72.9667,28.76,75,100,4.75,MV,1720468692
134,scottburgh,-30.2867,30.7532,14.7,27,0,7.09,ZA,1720468694
135,hasaki,35.7333,140.8333,25.22,92,98,3.3,JP,1720468696
136,ghadamis,30.1337,9.5007,36.36,9,0,3.73,LY,1720468698
137,georgetown,5.4112,100.3354,26.96,83,20,0.0,MY,1720468701
138,rio grande,-32.035,-52.0986,10.06,57,2,5.51,BR,1720468703
139,paita,-5.0892,-81.1144,21.88,73,13,7.92,PE,1720468705
140,amga,60.8953,131.9608,14.12,77,5,0.95,RU,1720468708
141,hawaiian paradise park,19.5933,-154.9731,27.16,77,100,2.06,US,1720468710
142,whitehorse,60.7161,-135.0538,22.83,34,40,1.03,CA,1720468714
143,am timan,11.0297,20.2827,28.08,61,65,0.73,TD,1720468719
144,howrah,22.5892,88.3103,28.0,89,40,0.0,IN,1720468660
145,caninde,-4.3589,-39.3117,30.59,35,83,2.97,BR,1720468726
146,talnakh,69.4865,88.3972,13.16,73,29,4.95,RU,1720468731
147,puerto princesa,9.7392,118.7353,25.99,89,100,3.6,PH,1720468733
148,litochoro,40.1006,22.4978,24.27,46,4,1.03,GR,1720468736
149,keflavik,64.0049,-22.5624,11.24,76,0,3.6,IS,1720468739
150,gamba,-2.65,10.0,20.96,87,9,2.17,GA,1720468741
151,marsabit,2.3284,37.9899,22.08,59,92,3.1,KE,1720468743
152,tabou,4.423,-7.3528,24.76,81,97,4.3,CI,1720468746
153,prince rupert,54.3161,-130.3201,16.83,82,17,1.54,CA,1720468748
154,homer,59.6425,-151.5483,13.94,75,100,2.57,US,1720468750
155,anadyr,64.75,177.4833,8.28,100,40,5.0,RU,1720468752
156,san patricio,28.017,-97.5169,34.95,38,66,4.03,US,1720468754
157,homestead,25.4687,-80.4776,33.9,62,0,3.6,US,1720468684
158,hotan,37.0997,79.9269,26.19,26,55,1.86,CN,1720468758
159,klaksvik,62.2266,-6.589,10.51,91,100,1.72,FO,1720468760
160,albina,5.5,-54.05,27.42,87,35,1.37,SR,1720468762
161,ust-nera,64.5667,143.2,14.53,60,0,2.38,RU,1720468765
162,qui nhon,13.7667,109.2333,25.58,87,100,2.02,VN,1720468767
163,holualoa,19.6228,-155.9522,25.31,82,40,3.6,US,1720468769
164,lepsy,46.235,78.9456,24.42,45,100,10.19,KZ,1720468771
165,taishan,22.2514,112.7799,26.52,85,89,1.63,CN,1720468773
166,las palmas,28.4204,-14.0131,21.44,60,20,8.75,ES,1720468775
167,sierra grande,-41.606,-65.3557,5.48,54,100,1.75,AR,1720468778
168,merizo village,13.2658,144.6691,27.85,93,23,5.17,GU,1720468780
169,wailua homesteads,22.0669,-159.378,26.03,79,75,2.68,US,1720468782
170,sitka,57.0531,-135.33,19.23,58,79,2.54,US,1720468784
171,avarua,-21.2078,-159.775,22.03,64,75,5.66,CK,1720468786
